sampleId	Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	N50	N75	L50	L75	# N's per 100 kbp
14623_5#50	14623_5#50.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	37	34	29	28	23	15	2778144	2775919	2763745	2758564	2650242	2356070	36	437066	2777706	148119	101794	6	11	0.58
14623_5#51	14623_5#51.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	23	14	13	13	13	11	2763410	2759044	2756302	2756302	2756302	2681784	19	723867	2762043	461824	143360	3	5	0.40
14623_5#52	14623_5#52.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	32	29	25	24	21	14	2789128	2788104	2778907	2773593	2716870	2445173	29	449643	2788104	170615	108082	5	10	0.72
14623_5#58	14623_5#58.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	35	31	28	27	22	16	2778007	2776174	2768451	2759006	2681222	2449992	32	418256	2776887	150800	101794	5	11	0.58
14623_5#59	14623_5#59.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	30	28	26	24	19	15	2825759	2824975	2818973	2808227	2717654	2588983	28	494407	2824975	170660	150417	5	9	0.57
14623_5#66	14623_5#66.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	34	30	26	25	23	16	2790786	2788916	2780905	2772531	2735562	2465329	31	565710	2789667	150643	81296	5	11	0.68
14623_5#72	14623_5#72.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	34	27	24	24	23	14	2790402	2786965	2779232	2779232	2767024	2423715	30	587603	2788904	175932	107898	4	10	0.82
14623_5#88	14623_5#88.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	37	33	28	28	23	16	2848188	2845779	2829764	2829764	2729512	2497733	35	308451	2847484	167534	109981	7	12	0.63
14623_5#90	14623_5#90.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	27	23	19	18	17	13	2814381	2813103	2800861	2791934	2770918	2627894	23	413788	2813103	317108	129586	4	8	0.75
14623_6#13	14623_6#13.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	28	23	20	18	15	12	2811996	2810095	2804954	2790455	2727626	2630620	24	620141	2810633	231506	163780	4	8	0.71
14623_6#14	14623_6#14.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	32	29	26	26	23	17	2839655	2837612	2829323	2829323	2760456	2559428	31	372778	2839343	150652	101068	5	11	0.74
14623_6#17	14623_6#17.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	34	30	24	23	22	14	2793767	2792302	2779442	2774177	2749735	2464695	30	405704	2792302	170695	107963	5	10	0.82
14623_6#20	14623_6#20.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	45	44	34	34	27	18	2809221	2808702	2785597	2785597	2656429	2305159	45	298998	2809221	125542	55739	7	15	1.32
14623_6#21	14623_6#21.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	28	24	24	21	14	2858114	2856875	2846556	2846556	2776975	2527258	29	562867	2857413	261412	108156	4	9	0.63
14623_6#24	14623_6#24.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	21	16	14	13	11	9	2760059	2757601	2752908	2744810	2706668	2635464	17	987393	2758474	467911	232674	2	5	0.65
14623_6#37	14623_6#37.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	40	36	31	31	25	16	2792733	2790728	2774989	2774989	2659590	2307520	38	391854	2792059	150629	86591	6	13	0.64
14623_6#38	14623_6#38.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	24	17	15	15	14	12	2781407	2777603	2772098	2772098	2751828	2680417	20	989375	2779707	243974	208343	3	6	0.58
14623_6#39	14623_6#39.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	23	18	16	16	13	10	2712571	2710343	2707630	2707630	2648515	2535192	20	1001180	2711482	584965	128711	2	5	0.52
14623_6#41	14623_6#41.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	40	34	30	28	25	16	2796313	2791599	2779633	2762577	2707592	2374281	39	307848	2795953	125604	86912	7	13	1.14
14623_6#54	14623_6#54.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	30	28	25	25	22	16	2816215	2815518	2808345	2808345	2748245	2535956	28	334290	2815518	150647	108144	6	12	1.21
14623_6#56	14623_6#56.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	21	18	16	15	11	11	2821767	2820702	2814375	2808559	2734625	2734625	18	612763	2820702	431384	253185	3	5	0.89
14623_6#59	14623_6#59.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	39	37	32	30	24	17	2738923	2738120	2726225	2713407	2619546	2361384	37	403486	2738120	150821	69232	6	12	0.95
14623_6#65	14623_6#65.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	34	31	29	29	24	16	2744387	2742295	2736733	2736733	2658992	2336703	33	487320	2744006	146739	87010	6	12	0.55
14623_6#69	14623_6#69.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	28	27	24	24	21	17	2743038	2742694	2735867	2735867	2677770	2534774	27	481234	2742694	173005	108155	5	10	0.66
14623_6#72	14623_6#72.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	36	35	29	28	23	16	2838202	2837848	2823400	2814952	2709766	2434902	35	336217	2837848	155908	107964	7	12	0.92
14623_6#75	14623_6#75.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	30	28	23	23	22	14	2840347	2839281	2826053	2826053	2805453	2511009	29	519162	2839994	239522	109690	4	9	0.81
14623_6#77	14623_6#77.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	37	36	31	30	23	18	2807625	2807276	2796044	2790804	2676605	2498832	36	327174	2807276	150706	108865	7	13	0.75
14623_6#78	14623_6#78.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	20	20	19	19	14	13	2833103	2833103	2829787	2829787	2743270	2705011	20	550554	2833103	208291	159525	4	8	0.56
14623_6#79	14623_6#79.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	36	32	27	27	26	17	2814966	2813149	2801531	2801531	2780458	2429082	34	334368	2814298	150581	87014	6	12	0.75
14623_6#7	14623_6#7.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	37	31	29	27	22	14	2819333	2816605	2810854	2798550	2708125	2397416	33	565812	2817771	150714	107963	5	10	0.82
14623_6#80	14623_6#80.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	34	29	26	26	25	15	2774452	2771703	2766114	2766114	2746466	2372424	32	404078	2773703	161645	101069	6	11	0.69
14623_6#82	14623_6#82.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	27	26	23	23	21	14	2785070	2784715	2777802	2777802	2732235	2489226	26	403653	2784715	174033	128466	6	10	0.61
14623_6#83	14623_6#83.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	22	20	18	18	13	8	2773415	2772698	2767936	2767936	2688660	2490314	20	870647	2772698	351751	281355	3	5	0.76
14623_6#85	14623_6#85.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	16	14	13	13	11	8	2791271	2789915	2787331	2787331	2751464	2643129	16	720190	2791271	466742	167595	3	5	0.43
14623_6#87	14623_6#87.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	23	20	19	19	15	15	2835207	2834013	2832354	2832354	2765564	2765564	21	550680	2834561	200092	125526	4	9	0.46
14623_6#88	14623_6#88.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	32	30	28	28	22	14	2799510	2798779	2795734	2795734	2688996	2388234	30	587508	2798779	174149	85621	5	10	0.86
14623_6#89	14623_6#89.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	11	11	10	10	9	7	2770134	2770134	2767562	2767562	2746815	2673872	11	846674	2770134	757707	299267	2	4	0.69
14623_6#8	14623_6#8.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	48	40	35	32	27	18	2791399	2788011	2775398	2757960	2660877	2344553	42	565644	2789246	123874	67838	7	14	1.29
14623_7#19	14623_7#19.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	30	25	24	22	16	2778613	2777754	2766390	2756882	2721542	2480543	31	566169	2778613	146358	108125	6	11	0.65
14623_7#25	14623_7#25.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	30	27	24	23	20	16	2774648	2772561	2764389	2758789	2689691	2541991	29	438366	2774190	150673	113176	6	11	0.50
14623_7#26	14623_7#26.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	17	13	12	12	10	8	2760775	2758421	2754865	2754865	2716713	2633148	16	1033693	2760461	575507	467766	2	3	0.80
14623_7#31	14623_7#31.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	32	32	28	27	25	17	2823550	2823550	2812994	2805460	2760846	2466639	32	403939	2823550	150677	77842	6	12	0.81
14623_7#36	14623_7#36.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	29	22	17	15	11	9	2897567	2894039	2880427	2867165	2790979	2720649	27	593235	2896848	467464	287665	3	5	0.69
14623_7#37	14623_7#37.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	32	28	24	24	21	14	2815974	2813864	2804600	2804600	2739345	2445798	31	491886	2815574	174029	87296	5	10	0.67
14623_7#43	14623_7#43.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	32	27	24	23	21	16	2727840	2725526	2718743	2709928	2675415	2479764	30	384320	2727136	174596	108155	6	11	0.95
14623_7#45	14623_7#45.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	15	10	10	10	9	8	2769466	2766786	2766786	2766786	2746054	2707739	12	547000	2768351	516884	272766	3	5	0.79
14623_7#48	14623_7#48.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	21	13	11	11	11	9	2737765	2734156	2728956	2728956	2728956	2654127	15	987426	2735312	575468	233868	2	4	0.73
14623_7#51	14623_7#51.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	37	35	29	29	24	14	2823976	2823165	2808834	2808834	2722013	2323013	35	484372	2823165	167356	108155	6	11	0.71
14623_7#52	14623_7#52.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	14	13	11	10	9	8	2814047	2813678	2806289	2797364	2781109	2743071	13	713223	2813678	517612	196510	3	5	0.68
14623_7#55	14623_7#55.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	35	31	27	27	24	16	2730154	2727773	2718865	2718865	2669439	2392576	33	519297	2729412	147014	107518	5	11	0.59
14623_7#57	14623_7#57.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	30	27	24	23	22	18	2733073	2731657	2723711	2718473	2697400	2543368	28	436887	2732193	146135	100807	6	11	0.66
14623_7#60	14623_7#60.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	34	29	26	26	24	18	2788348	2785766	2778025	2778025	2741092	2508257	32	403478	2787607	146139	108048	7	12	0.79
14623_7#61	14623_7#61.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	39	36	29	29	27	16	2826608	2825450	2806707	2806707	2769770	2371167	36	385272	2825450	150709	87006	6	12	0.64
14623_7#66	14623_7#66.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	39	35	32	32	25	15	2800287	2798242	2792841	2792841	2651534	2302045	37	416067	2799605	125567	77064	6	13	0.82
14623_7#74	14623_7#74.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	48	41	35	30	25	18	2834896	2831427	2817678	2778118	2700849	2423122	44	433394	2833335	129560	92894	8	14	1.76
14623_7#83	14623_7#83.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	21	15	14	12	9	2788090	2781382	2764264	2756173	2717091	2600624	25	750953	2784806	467911	232073	3	5	1.04
14623_7#84	14623_7#84.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	36	29	29	27	21	15	2704164	2700844	2700844	2688479	2572943	2338197	32	342609	2702716	194777	85187	5	11	0.55
14623_7#85	14623_7#85.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	45	36	32	31	24	16	2802329	2798278	2785601	2777162	2648040	2355765	38	251886	2799663	145920	108072	7	13	1.11
14623_7#8	14623_7#8.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	30	27	24	24	20	13	2779798	2777563	2769455	2769455	2701740	2421552	30	565319	2779798	175872	108264	4	10	0.72
14623_7#90	14623_7#90.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	35	33	30	28	26	18	2816327	2815254	2807147	2793531	2757875	2455175	34	334457	2815967	147814	87026	7	13	0.60
14623_8#10	14623_8#10.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	41	34	30	29	26	16	2807395	2804514	2794182	2786992	2732693	2352548	35	531350	2805227	150710	87001	6	12	0.68
14623_8#12	14623_8#12.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	47	41	31	31	23	17	2854385	2851524	2824669	2824669	2672750	2427330	43	426393	2852962	150606	101097	7	12	0.95
14623_8#13	14623_8#13.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	54	33	29	28	23	16	2824962	2815556	2804956	2799718	2713757	2461897	37	387871	2818239	150587	101148	6	12	0.85
14623_8#14	14623_8#14.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	45	22	16	16	16	14	2739495	2728293	2719488	2719488	2719488	2638032	29	672809	2733550	212351	177802	4	8	0.88
14623_8#15	14623_8#15.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	88	43	34	33	26	19	2867208	2844984	2824483	2818337	2689136	2401412	58	298666	2856020	133975	54558	8	15	0.67
14623_8#16	14623_8#16.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	58	27	23	22	21	15	2802891	2788920	2779990	2772897	2749330	2522318	35	565526	2794409	173964	100885	5	10	0.75
14623_8#17	14623_8#17.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	35	31	28	27	26	16	2821500	2819463	2811364	2806127	2794355	2417192	33	587667	2820683	150587	87038	6	12	0.89
14623_8#18	14623_8#18.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	37	31	25	24	24	16	2774560	2771796	2757140	2751958	2751958	2430273	33	400539	2773197	150713	108276	5	11	0.83
14623_8#19	14623_8#19.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	29	26	26	21	15	2783659	2781727	2773517	2773517	2669440	2429667	30	447540	2782440	150558	124193	6	11	1.65
14623_8#1	14623_8#1.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	59	34	28	28	24	17	2787890	2777963	2765192	2765192	2696038	2430166	37	340731	2779689	147017	100886	7	13	0.76
14623_8#20	14623_8#20.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	29	25	21	20	18	13	2777188	2775462	2765217	2758717	2716215	2529418	26	564721	2776175	204718	146347	4	8	0.76
14623_8#21	14623_8#21.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	65	44	35	34	27	20	2850683	2840715	2813685	2803901	2681352	2399724	52	286229	2845748	125604	59596	9	16	0.77
14623_8#22	14623_8#22.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	51	36	33	32	27	20	2737398	2731133	2723315	2715051	2617362	2358124	39	283367	2733023	121468	77482	9	16	0.55
14623_8#23	14623_8#23.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	38	21	16	15	12	10	2825666	2818351	2808616	2802820	2745744	2674142	25	552451	2820819	429781	168186	3	6	0.71
14623_8#25	14623_8#25.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	38	31	28	27	23	16	2749129	2745417	2737627	2728033	2672770	2386643	34	509295	2747657	139119	87390	6	12	0.62
14623_8#26	14623_8#26.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	55	33	28	27	22	14	2757160	2748323	2737114	2731934	2629505	2331557	37	403927	2750691	129428	108144	6	11	0.62
14623_8#27	14623_8#27.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	41	26	24	24	21	16	2794001	2786668	2781086	2781086	2720511	2512505	31	403308	2790134	150712	124260	6	11	0.79
14623_8#28	14623_8#28.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	47	25	21	21	17	12	2796550	2787498	2777216	2777216	2695521	2494183	28	566359	2789160	217569	125508	4	8	0.82
14623_8#2	14623_8#2.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	45	15	13	12	10	7	2770615	2756113	2751330	2743313	2705184	2589405	23	987841	2762545	686019	236326	2	4	0.72
14623_8#30	14623_8#30.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	38	14	12	12	10	7	2771961	2761912	2756066	2756066	2717949	2610129	18	1105474	2764703	575545	468101	2	3	0.83
14623_8#31	14623_8#31.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	35	30	26	26	25	17	2793782	2791812	2783615	2783615	2763894	2454328	31	403663	2792350	150800	101968	7	12	0.68
14623_8#32	14623_8#32.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	42	39	31	31	24	17	2850805	2848909	2828771	2828771	2697605	2434115	41	285069	2850465	156469	107965	7	12	0.91
14623_8#33	14623_8#33.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	45	11	10	10	9	7	2783169	2770386	2767858	2767858	2747107	2667188	13	604579	2771591	531134	430475	3	4	0.47
14623_8#34	14623_8#34.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	48	36	31	31	28	17	2876990	2872297	2860573	2860573	2790270	2393274	37	334732	2872819	149658	87021	7	14	1.29
14623_8#35	14623_8#35.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	48	43	35	33	28	15	2875902	2873309	2850806	2835260	2731464	2256892	45	326660	2874683	150647	82571	7	14	1.36
14623_8#36	14623_8#36.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	38	29	25	24	21	15	2752249	2748910	2738555	2730030	2678449	2459219	30	617966	2749412	130906	95075	4	10	0.91
14623_8#37	14623_8#37.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	51	32	26	25	22	15	2758594	2750643	2736212	2727770	2667257	2405637	36	403583	2753109	174021	113213	6	11	0.80
14623_8#38	14623_8#38.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	45	25	21	20	16	12	2786613	2778216	2769983	2764449	2674948	2545123	30	781852	2781351	249542	138577	3	7	0.40
14623_8#39	14623_8#39.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	50	29	25	25	22	17	2797010	2788218	2777924	2777924	2716549	2514341	32	565688	2790180	150568	86588	5	11	0.61
14623_8#3	14623_8#3.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	38	31	28	27	22	16	2777576	2772920	2764866	2756435	2648242	2435974	36	565633	2776792	151408	87727	5	11	0.86
14623_8#40	14623_8#40.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	30	26	23	23	22	15	2792685	2790666	2783313	2783313	2772296	2514587	28	531058	2791942	151795	124294	5	10	0.75
14623_8#41	14623_8#41.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	72	45	33	33	25	18	2865043	2851603	2823516	2823516	2678593	2402772	56	312863	2859289	125549	81359	7	14	0.84
14623_8#42	14623_8#42.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	45	29	25	25	23	17	2793925	2787060	2777979	2777979	2745099	2509730	33	566240	2789547	125423	89228	5	11	0.86
14623_8#43	14623_8#43.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	39	29	25	25	22	17	2732536	2728623	2719276	2719276	2662203	2468829	30	518838	2729308	146326	108144	5	11	0.62
14623_8#46	14623_8#46.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	46	31	25	25	24	16	2801407	2795098	2781016	2781016	2759944	2468805	33	373323	2796695	170694	113463	6	12	0.68
14623_8#47	14623_8#47.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	47	33	30	30	27	16	2780647	2775139	2767716	2767716	2711669	2300795	34	403282	2775683	125432	101015	8	14	0.86
14623_8#49	14623_8#49.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	51	29	25	25	23	14	2806693	2796998	2787518	2787518	2742904	2390310	34	531302	2800358	167698	107964	5	11	0.64
14623_8#4	14623_8#4.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	54	37	32	30	25	18	2798919	2791132	2777212	2760038	2674254	2419595	41	403739	2794006	125467	74607	7	14	0.79
14623_8#50	14623_8#50.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	59	42	36	35	29	19	2856097	2848518	2833816	2827672	2715255	2335027	46	355742	2851242	125535	59873	8	16	0.81
14623_8#51	14623_8#51.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	35	31	27	27	27	14	2784269	2782137	2772705	2772705	2772705	2311561	32	403460	2783020	139126	100886	6	12	1.11
14623_8#52	14623_8#52.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	56	40	33	32	27	19	2899014	2892535	2872571	2867372	2772508	2484909	42	334445	2893890	125525	75185	8	15	1.21
14623_8#53	14623_8#53.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	53	42	36	35	28	20	2835503	2830523	2814694	2806257	2678241	2358889	45	286714	2832722	124235	59590	8	16	0.95
14623_8#54	14623_8#54.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	57	31	28	27	23	15	2827102	2815864	2809298	2804060	2729814	2439508	36	335231	2819197	156472	107898	6	12	0.71
14623_8#55	14623_8#55.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	17	10	8	7	6	6	2817040	2813988	2806560	2797610	2776599	2776599	11	988587	2814811	832575	539840	2	3	0.60
14623_8#56	14623_8#56.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	56	31	29	28	23	18	2784572	2774576	2769032	2763808	2681117	2502187	33	565465	2775797	125450	76816	5	12	0.68
14623_8#58	14623_8#58.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	38	35	30	28	27	19	2780131	2778199	2766603	2754325	2733217	2414828	37	281245	2779830	146044	85750	8	14	0.50
14623_8#59	14623_8#59.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	25	22	22	19	14	2817762	2814578	2806375	2806375	2741117	2537765	28	494726	2816745	178417	108430	5	10	0.78
14623_8#5	14623_8#5.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	44	38	32	31	24	18	2846960	2844514	2829720	2823575	2691673	2457351	39	418249	2845067	127405	99802	7	14	0.88
14623_8#60	14623_8#60.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	11	9	9	8	6	2823727	2814587	2810476	2810476	2789731	2718277	17	1122750	2818619	789265	525767	2	3	0.46
14623_8#61	14623_8#61.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	41	26	22	22	20	14	2767644	2762207	2749428	2749428	2712588	2503445	27	531205	2762852	174625	125449	5	9	0.54
14623_8#62	14623_8#62.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	42	30	28	28	26	13	2806519	2801971	2796423	2796423	2763385	2290207	31	403951	2802684	156474	87517	5	10	0.71
14623_8#63	14623_8#63.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	16	13	13	12	9	2775497	2768664	2763315	2763315	2742569	2624831	18	613347	2770221	395957	299282	3	5	0.58
14623_8#64	14623_8#64.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	53	28	24	23	18	16	2793570	2781893	2772376	2766832	2659964	2601551	36	439109	2787278	190660	117233	5	10	0.97
14623_8#65	14623_8#65.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	42	35	29	28	24	17	2856734	2853405	2840181	2833939	2761639	2518293	37	309630	2854861	150830	107964	7	13	0.84
14623_8#66	14623_8#66.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	60	27	26	23	20	15	2857601	2843913	2839587	2819511	2761737	2585631	33	445941	2848015	191745	150333	5	10	0.84
14623_8#67	14623_8#67.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	45	30	26	25	21	17	2797931	2791375	2780152	2771711	2695195	2547701	33	565570	2793451	150567	108857	6	11	0.61
14623_8#68	14623_8#68.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	49	30	27	27	25	18	2838741	2830413	2822279	2822279	2781639	2515308	32	334483	2832066	150260	107964	7	12	1.24
14623_8#69	14623_8#69.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	44	33	30	28	24	18	2821517	2816628	2808583	2790482	2732438	2522243	35	348875	2817875	128514	101148	7	13	0.71
14623_8#6	14623_8#6.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	53	14	12	12	10	7	2779854	2763507	2759441	2759441	2721281	2595360	22	992491	2768346	575463	233910	2	4	0.72
14623_8#71	14623_8#71.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	34	34	30	29	28	18	2791921	2791921	2781596	2776028	2762017	2410291	34	403632	2791921	141151	78148	7	14	0.64
14623_8#72	14623_8#72.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	53	33	29	29	24	18	2830032	2821082	2809313	2809313	2719760	2510684	38	326456	2824717	149305	100989	8	13	0.67
