submodule	subsystem	reaction_id	enzyme_name	locus_tag	gene_gff	product_gff	start_gff	end_gff	submodule_cds_length
Nicotinate catabolism	Carbohydrate Metabolism;Cofactor and Prosthetic Group Metabolism;Exchange;Lipid Metabolism;Transport	EX_nac_e;NACUP;NADDPp;NADS1;NAPRTr;NCAMUP;NMNHYD;NNAM;NNATr;NP1;PNP	Nicotinate exchange;Nicotinic acid uptake;NAD diphosphatase, peroxisomal;NAD synthase (nh3);NAPRTase (rev);Nicotinamide acid uptake;Nicotinamide ribonucleotide phosphohydrolase;nicotinamidase;nicotinate-nucleotide adenylyltransferase;nucleotide phosphatase;purine-nucleoside phosphorylase	B7H15_00135;B7H15_00760;B7H15_04765;B7H15_08735;B7H15_10620;B7H15_10670;B7H15_10675;B7H15_10705;B7H15_11870	-;-;-;-;ligA;-;-;-;-	multifunctional 2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'-nucleotidase/3'-nucleotidase;purine-nucleoside phosphorylase;bifunctional metallophosphatase/5'-nucleotidase;nicotinate-nicotinamide nucleotide adenylyltransferase;DNA ligase (NAD(+)) LigA;NAD(+) synthetase;nicotinate phosphoribosyltransferase;isochorismatase;purine-nucleoside phosphorylase	30482;157301;923237;1704890;2049031;2059500;2060314;2067283;2256576	32801;158009;924557;1705460;2051035;2060322;2061784;2067844;2257287	10485
Nitrogen Metabolism	Exchange;Inorganic Ion Transport and Metabolism;Transport	ALPHNH;EX_nh4_e;EX_no2_e;EX_no3_e;EX_urea_e;NH4OHDs;NH4t4;NO2t;NO3t3;NO3t7;NODOx;NODOy;NTRIR2x;NTRIR2y;NTRIRx;NTRIRy;UREA;UREAt	allophanate hydrolase;Ammonium exchange;Nitrite exchange;Nitrate exchange;Urea exchange;NH4OH dissociation;Ammonium transport out via K+ antiport;Nitrite transport in via proton symport ;Nitrate transport out via proton antiport;Nitrate transport in via nitrite antiport;nitric oxide dioxygenase;nitric oxide dioxygenase;nitrite Reductase (NADH);nitrite Reductase (NADPH);nitrite reductase (NADH);nitrite reductase (NADPH);urease;Urea transport via facilitate diffusion	B7H15_01285;B7H15_01675;B7H15_03990;B7H15_03995;B7H15_08800;B7H15_08805;B7H15_11325;B7H15_12685;B7H15_12690;B7H15_12695;B7H15_12700;B7H15_12705;B7H15_12710;B7H15_12715;B7H15_12720;B7H15_13235;B7H15_13295;B7H15_13300;B7H15_13315	-;-;-;-;-;-;-;-;-;-;-;ureE;-;-;-;-;-;-;-	nitric oxide dioxygenase;formate/nitrite transporter;allophanate hydrolase;allophanate hydrolase;allophanate hydrolase;allophanate hydrolase;ammonia permease;urea transporter;urease subunit gamma;urease subunit beta;urease subunit alpha;urease accessory protein UreE;urease accessory protein UreF;urease accessory protein UreG;urease accessory protein;MFS transporter;nitrite reductase (NAD(P)H) small subunit;nitrite reductase large subunit;formate/nitrite transporter	281433;354660;789859;790553;1716190;1717190;2155366;2405386;2406551;2406867;2407274;2409002;2409447;2410149;2410763;2509457;2522846;2523164;2527365	282579;355485;790570;791558;1717201;1717925;2156617;2406277;2406854;2407278;2408990;2409455;2410137;2410764;2411600;2510627;2523161;2525570;2528190	17289
Nucleotide salvage and interconversion	Exchange;Nucleotide Metabolism;Transport	ADA;ADK2;ADKd;ADNUC;ADNt2r;ADPT;ADSS;DADK;DADNK;DADNt2r;DGK1;DGNSK;DGSNt2;DINSt2e;EX_adn_e;EX_dad__2_e;EX_dgsn_e;EX_gsn_e;EX_gua_e;EX_ins_e;GK1;GNNUC;GSNt2;GUAPRT;GUAt2;HXPRT;INSH;INSt2r;NDPK1;NDPK5;NDPK8;NDPK9;NTD6;NTPP1;NTPP11;NTPP2;NTPP9;PUNP1;PUNP2;PUNP3;PUNP4;PUNP5;PUNP6;PUNP7;RNTR1;XPPT;XTSNH	Adenosine deaminase;adenylate kinase (Inorganic triphosphate);adenylate kinase (d form);adenosine hydrolase;Adenosine transport in via proton symport, reversible;adenine phosphoribosyltransferase;adenylosuccinate synthase;deoxyadenylate kinase;deoxyadenosine kinase;DADNt2 ;deoxyguanylate kinase (dGMP:ATP);ATP deoxyguanosine 5'-phosphotransferase ;Deoxyguanosine transport in via proton symport;Deoxyinosine transport in via proton symport ;Adenosine exchange;Deoxyadenosine exchange;Deoxyguanosine exchange;Guanosine exchange;Guanine exchange;Inosine exchange;guanylate kinase (GMP:ATP);gnnuc;Guanosine transport in via proton symport ;guanine phosphoribosyltransferase;Guanine transport in via proton symport;hypoxanthine phosphoribosyltransferase (Hypoxanthine);Inosine hydrolase;Inosine transport in via proton symport, reversible;nucleoside-diphosphate kinase (ATP:GDP);nucleoside-diphosphate kinase (ATP:dGDP);nucleoside-diphosphate kinase (ATP:dADP);nucleoside-diphosphate kinase (ATP:IDP);5-nucleotidase (dAMP);Nucleoside triphosphate pyrophosphorylase (dgtp);Nucleoside triphosphate pyrophosphorylase (xtp);Nucleoside triphosphate pyrophosphorylase (gtp);Nucleoside triphosphate pyrophosphorylase (itp);purine-nucleoside phosphorylase (Adenosine);purine-nucleoside phosphorylase (Deoxyadenosine);purine-nucleoside phosphorylase (Guanosine);purine-nucleoside phosphorylase (Deoxyguanosine);purine-nucleoside phosphorylase (Inosine);purine-nucleoside phosphorylase (Deoxyinosine);purine-nucleoside phosphorylase (Xanthosine);ribonucleoside-triphosphate reductase (ATP);xanthine phosphoribosyltransferase;Xanthosine hydrolase	B7H15_00095;B7H15_00135;B7H15_00760;B7H15_01310;B7H15_02135;B7H15_02710;B7H15_02850;B7H15_03040;B7H15_03045;B7H15_05985;B7H15_06300;B7H15_07740;B7H15_08945;B7H15_11870;B7H15_12380;B7H15_12670;B7H15_14550;B7H15_14555	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	adenylosuccinate synthetase;multifunctional 2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'-nucleotidase/3'-nucleotidase;purine-nucleoside phosphorylase;nucleoside hydrolase;xanthine phosphoribosyltransferase;hypoxanthine-guanine phosphoribosyltransferase;NupC/NupG family nucleoside CNT transporter;deoxynucleoside kinase;deoxynucleoside kinase;non-canonical purine NTP pyrophosphatase;guanylate kinase;nucleoside-diphosphate kinase;adenine phosphoribosyltransferase;purine-nucleoside phosphorylase;adenylate kinase;purine nucleosidase;anaerobic ribonucleoside-triphosphate reductase activating protein;anaerobic ribonucleoside-triphosphate reductase	21921;30482;157301;286315;436696;546886;571237;613349;614004;1163973;1221682;1540634;1745091;2256576;2361287;2401553;2757938;2758471	23205;32801;158009;287251;437275;547426;572452;614012;614622;1164561;1222306;1541084;1745610;2257287;2361935;2402495;2758475;2760322	15736
Pantothenate and Coenzyme a biosynthesis	Cofactor and Prosthetic Group Metabolism;Other;Transport	ACPpds;DPCOAK;DPR;MOHMT;PANTS;PNTK;PNTOt;PPCDC;PPNCL2;PTPATi;sink_ACP_c	[acyl-carrier-protein] phosphodiesterase;dephospho-CoA kinase;2-dehydropantoate 2-reductase;3-methyl-2-oxobutanoate hydroxymethyltransferase;pantothenate synthase;pantothenate kinase;Pantothenate transport: mechanism unknown;phosphopantothenoylcysteine decarboxylase;phosphopantothenate-cysteine ligase;pantetheine-phosphate adenylyltransferase;	B7H15_01135;B7H15_05835;B7H15_06310;B7H15_09195;B7H15_11400;B7H15_11825;B7H15_13580;B7H15_14435;B7H15_14440;B7H15_14445	-;-;-;-;-;-;-;-;-;-	FMN-dependent NADH-azoreductase;phosphopantetheine adenylyltransferase;phosphopantothenoylcysteine decarboxylase;dephospho-CoA kinase;ketol-acid reductoisomerase;type II pantothenate kinase;2-dehydropantoate 2-reductase;pantoate--beta-alanine ligase;3-methyl-2-oxobutanoate hydroxymethyltransferase;2-dehydropantoate 2-reductase	244589;1134462;1222739;1790627;2170326;2248342;2571851;2735141;2735985;2736876	245216;1134945;1223939;1791251;2171331;2249146;2572787;2735993;2736804;2737737	8212
Pentose Phosphate Pathway	Carbohydrate Metabolism;Energy Production and Conversion;Exchange;Transport	ARABR;EX_glcn_e;FBA3;G6PBDH;GLCNt2r;GND;GNK;PFK_3;PGLer;PPM;PRPPS;RBK_Dr;RPE;RPI;TALA;TKT1;TKT2	arabinose reductase;D-Gluconate exchange;Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase;beta-D-Glucose-6-phosphate:NADP+ 1-oxoreductase;D-gluconate transport via proton symport, reversible;phosphogluconate dehydrogenase;gluconokinase;phosphofructokinase (s7p);6-phosphogluconolactonase, endoplasmic reticulum;phosphopentomutase;phosphoribosylpyrophosphate synthetase;D-ribulokinase (reversible);ribulose 5-phosphate 3-epimerase;ribose-5-phosphate isomerase;transaldolase;transketolase;transketolase	B7H15_00775;B7H15_02655;B7H15_03015;B7H15_03920;B7H15_06365;B7H15_07060;B7H15_08285;B7H15_08315;B7H15_09255;B7H15_09710;B7H15_09735;B7H15_10725;B7H15_11800;B7H15_12950;B7H15_13920;B7H15_13925;B7H15_14480	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	phosphopentomutase;ribose-phosphate pyrophosphokinase;ribulokinase;aldo/keto reductase;ribulose-phosphate 3-epimerase;transketolase;glucose-6-phosphate dehydrogenase;phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating);ATP-dependent 6-phosphofructokinase;transaldolase;aldo/keto reductase;hypothetical protein;fructose-bisphosphate aldolase;ribose-5-phosphate isomerase;gluconate permease;gluconate kinase;class I fructose-bisphosphate aldolase	160138;535364;608073;779046;1236132;1371409;1621873;1628004;1808070;1909158;1913487;2070744;2242762;2456746;2637356;2638831;2744113	161317;536330;609711;779886;1236777;1373398;1623358;1629411;1809039;1909872;1914321;2071773;2243623;2457433;2638715;2640385;2745004	19064
Peptidoglycan metabolism	Carbohydrate Metabolism;Cell Wall/Membrane/Envelope Metabolism	ACMAA;ALAALAr;ALAD_L;AMAA;GGEP;GLUR;LIP2GT;LIP2GT2;LIP2GT3;PAPT;PDTL;PDTLB;PDTS;PDTSB;PEPG;PEPGACT;PEPMF;UAAPUAT;UAATAAL;UAGCVT;UAGPT2;UAMAGLL;UAMAGS;UAMAS;UAPGR;UDCPDPw;UDCPPtppw	N-acetylmuramoyl-L-alanine amidase;D-alanine-D-alanine ligase (reversible);L-alanine dehydrogenase;N-acetylmuramoyl-L-alanine amidase;Glycyl-glycine endopeptidase LytM;glutamate racemase;N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine-diphosphoundecaprenyl-N-acetylglucosamine:glycine transferase;N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-(glycine)-D-alanyl-D-alanine-diphosphoundecaprenyl-N-acetylglucosamine:glycine transferase;N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-(glycine)3-D-alanyl-D-alanine-diphosphoundecaprenyl-N-acetylglucosamine:glycine transferase;phospho-N-acetylmuramoyl-pentapeptide-transferase;peptidoglycan dimer transpeptidation (long strand);peptidoglycan dimer transpeptidation (long strand) in the presence of a beta-lactamase;peptidoglycan dimer transpeptidation (short strand);peptidoglycan dimer transpeptidation (short strand) in the presence of a beta-lactamase;monofunctional peptidoglycan glycosyltransferase;Peptidoglycan O-acetyltransferase ;Peptidoglycan Lipid II gly(5) Flippase;UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase;UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase;UDP-N-acetylglucosamine 1-carboxyvinyltransferase;UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase;UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--lysine ligase;UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase;UDP-N-acetylmuramoyl-L-alanine synthetase;UDP-N-acetylenolpyruvoylglucosamine reductase;Undecaprenyl-diphosphatase (cell wall);Undecaprenyl phosphate transport (cell wall to periplasm)	B7H15_00175;B7H15_01500;B7H15_02435;B7H15_03600;B7H15_03820;B7H15_04140;B7H15_05245;B7H15_05450;B7H15_05980;B7H15_06160;B7H15_06165;B7H15_06170;B7H15_07240;B7H15_07245;B7H15_07485;B7H15_07590;B7H15_07650;B7H15_08930;B7H15_09310;B7H15_09490;B7H15_09570;B7H15_10445;B7H15_10545;B7H15_11565;B7H15_11570;B7H15_11665;B7H15_11795;B7H15_12550;B7H15_12795;B7H15_14280;B7H15_14725	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA;glycyl-glycine endopeptidase LytM;N-acetylmuramoyl-L-alanine amidase;D-alanyl-D-alanine carboxypeptidase;undecaprenyl-diphosphatase;UDP-N-acetylenolpyruvoylglucosamine reductase;UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase;bifunctional autolysin;glutamate racemase;penicillin-binding protein;phospho-N-acetylmuramoyl-pentapeptide-transferase;UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase;aminoacyltransferase FemA;aminoacyltransferase FemB;undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase;alanine dehydrogenase;penicillin-binding protein 2;cell wall amidase;alanine dehydrogenase;UDP-N-acetylmuramate--L-alanine ligase;polysaccharide biosynthesis protein;monofunctional glycosyltransferase;UDP-N-acetylmuramate--alanine ligase;UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate--D-alanyl-D-alanine ligase;D-alanine--D-alanine ligase A;UDP-N-acetylglucosamine 1-carboxyvinyltransferase;UDP-N-acetylglucosamine 1-carboxyvinyltransferase;lipid II:glycine glycyltransferase;N-acetylmuramoyl-L-alanine amidase;O-acetyltransferase OatA;N-acetylmuramoyl-L-alanine amidase	38583;322567;491898;716346;756693;817390;1023505;1059104;1163161;1188706;1191232;1192199;1411931;1413212;1459315;1507395;1519815;1741138;1821858;1859949;1876142;2019047;2034333;2204615;2205988;2219679;2241037;2384736;2424349;2710055;2796793	40593;323518;492903;717642;757569;818314;1024987;1062875;1163962;1190941;1192198;1193549;1413194;1414472;1460386;1508514;1521999;1742014;1822977;1861263;1877804;2019857;2035647;2205974;2207059;2220945;2242297;2386002;2424988;2711867;2798653	42223
Phenylalanine, Tyrosine and Tryptophan Metabolism	Amino Acid Metabolism;Transport	ANPRT;ANS;ATNS_nh4;CHORM;CHORS;DDPA;DHQS;DHQTi;GLYPHEAP;GLYPHEtr;IGPS;PHETA1;PPND;PPND2;PPNDH;PRAI;PSCVT;SHK3Dr;SHKK;TRPS2;TRPS3r;TYRTA;TYRt2r	anthranilate phosphoribosyltransferase;anthranilate synthase;Anthranilate synthase, ammonia;chorismate mutase;chorismate synthase;3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase;3-dehydroquinate synthase;3-dehydroquinate dehydratase, irreversible;Gly-Phe aminopeptidase ;Gly-Phe ABC transporters ;indole-3-glycerol-phosphate synthase;phenylalanine transaminase;prephenate dehydrogenase;prephenate dehydrogenase (NADP);prephenate dehydratase;phosphoribosylanthranilate isomerase;3-phosphoshikimate 1-carboxyvinyltransferase;shikimate dehydrogenase;shikimate kinase;tryptophan synthase (indole);tryptophan synthase (indoleglycerol phosphate);tyrosine transaminase;L-tyrosine reversible transport via proton symport	B7H15_03970;B7H15_04025;B7H15_04055;B7H15_04520;B7H15_07195;B7H15_07205;B7H15_07210;B7H15_07215;B7H15_07220;B7H15_07225;B7H15_07230;B7H15_07235;B7H15_07720;B7H15_07725;B7H15_07730;B7H15_08410;B7H15_08450;B7H15_08745;B7H15_09470;B7H15_10685;B7H15_10805;B7H15_13540;B7H15_14900	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	aminodeoxychorismate/anthranilate synthase component II;histidinol-phosphate transaminase;MFS transporter;3-dehydroquinase;prephenate dehydrogenase;anthranilate synthase component I;glutamine amidotransferase;anthranilate phosphoribosyltransferase;indole-3-glycerol-phosphate synthase;phosphoribosylanthranilate isomerase;tryptophan synthase subunit beta;tryptophan synthase subunit alpha;3-phosphoshikimate 1-carboxyvinyltransferase;3-dehydroquinate synthase;chorismate synthase;peptidase M24 family protein;shikimate kinase;shikimate dehydrogenase;bifunctional 3-deoxy-7-phosphoheptulonate synthase/chorismate mutase;prephenate dehydratase;aspartate aminotransferase;gamma-aminobutyrate permease;histidinol-phosphate aminotransferase	787163;800864;804626;888617;1402513;1405292;1406695;1407267;1408267;1409049;1409674;1410881;1536275;1537583;1538673;1646529;1654392;1705756;1856161;2063063;2082011;2563264;2837897	787757;801923;806132;889334;1403605;1406699;1407262;1408266;1409050;1409682;1410889;1411610;1537574;1538648;1539840;1647591;1654917;1706563;1857253;2063858;2083298;2564674;2838911	22822
Post-translational modification	Cofactor and Prosthetic Group Metabolism	GCVHADPr;GCVHLF;GCVHLL;GCVHLNA;GCVHRADPr	GcvH-L complex ADP ribosylation;GcvH-L complex formation;GcvH-L complex lipoylation;GcvH-L complex nucleophilic attack;GcvH-L complex reverse ADP ribosylation	B7H15_01790;B7H15_01795;B7H15_01800;B7H15_01805	-;-;-;-	glycine cleavage system protein H;hypothetical protein;deacetylase SIR2;lipoate--protein ligase	378389;378722;379512;380434	378722;379523;380457;381457	3069
Purine biosynthesis	Exchange;Nucleotide Metabolism;Transport	5DOAN;ADK1;ADK3;ADK4;ADSL1;ADSL2r;AICART;AIRC3;AIRC4;DATPHs;DRBK;DRBabc;DRPAr;EX_drib_e;EX_xan_e;GARFT;GLUPRT;GMPR;GMPS2;IMPC;IMPD;PPM2;PRAGS;PRAIS;PRASCS;PRFGS;RNDR1;RNDR2;RNTR2;XANt2	5'-deoxyadenosine nuclosidase;adenylate kinase;Adentylate kinase (GTP);Adentylate kinase (ITP);adenylosuccinate lyase;adenylosuccinate lyase;phosphoribosylaminoimidazolecarboxamide formyltransferase;phosphoribosylaminoimidazole carboxylase (mutase rxn);NCAIR synthetase and NCAIR mutase ;DATP amine hydrolysis (spontaneous);Deoxyribokinase;Deoxyribose transport via ABC system ;deoxyribose-phosphate aldolase reversible;Deoxyribose exchange;Xanthine exchange;phosphoribosylglycinamide formyltransferase;glutamine phosphoribosyldiphosphate amidotransferase;GMP reductase;GMP synthase;IMP cyclohydrolase;IMP dehydrogenase;phosphopentomutase 2 (deoxyribose);phosphoribosylglycinamide synthetase;phosphoribosylaminoimidazole synthase;phosphoribosylaminoimidazolesuccinocarboxamide synthase;phosphoribosylformylglycinamidine synthase;ribonucleoside-diphosphate reductase (ADP);ribonucleoside-diphosphate reductase (GDP);ribonucleoside-triphosphate reductase (GTP);Xanthine transport in via proton symport	B7H15_00770;B7H15_00775;B7H15_01455;B7H15_01460;B7H15_02140;B7H15_02145;B7H15_02150;B7H15_04080;B7H15_04085;B7H15_04090;B7H15_05515;B7H15_05520;B7H15_05525;B7H15_05530;B7H15_05535;B7H15_05540;B7H15_05545;B7H15_05550;B7H15_05555;B7H15_05560;B7H15_05565;B7H15_07030;B7H15_08760;B7H15_10640;B7H15_11865;B7H15_12380;B7H15_14550;B7H15_14555;s0001	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2-deoxyribose-5-phosphate aldolase;phosphopentomutase;ribokinase;D-ribose pyranase;xanthine permease;IMP dehydrogenase;GMP synthase (glutamine-hydrolyzing);protein NrdI;ribonucleotide-diphosphate reductase subunit alpha;class 1b ribonucleoside-diphosphate reductase subunit beta;5-(carboxyamino)imidazole ribonucleotide mutase;5-(carboxyamino)imidazole ribonucleotide synthase;phosphoribosylaminoimidazolesuccinocarboxamide synthase;phosphoribosylformylglycinamidine synthase;phosphoribosylformylglycinamidine synthase subunit PurQ;phosphoribosylformylglycinamidine synthase subunit PurL;amidophosphoribosyltransferase;phosphoribosylformylglycinamidine cyclo-ligase;phosphoribosylglycinamide formyltransferase;bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/inosine monophosphate cyclohydrolase;phosphoribosylamine--glycine ligase;guanosine monophosphate reductase;5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase;adenylosuccinate lyase;2-deoxyribose-5-phosphate aldolase;adenylate kinase;anaerobic ribonucleoside-triphosphate reductase activating protein;anaerobic ribonucleoside-triphosphate reductase	159448;160138;314722;315664;437274;438580;440071;808659;809020;811243;1074350;1074801;1075929;1076633;1076898;1077562;1079730;1081207;1082238;1082819;1084319;1367519;1708224;2054502;2255599;2361287;2757938;2758471	160111;161317;315637;316069;438543;440047;441613;809058;811126;812215;1074815;1075926;1076634;1076897;1077570;1079752;1081215;1082236;1082805;1084298;1085567;1368497;1708911;2055798;2256262;2361935;2758475;2760322	28732
Purine biosynthesus	Nucleotide Metabolism	AIRC;AIRC2	phosphoribosylaminoimidazole carboxylase;phosphoribosylaminoimidazole carboxylase	B7H15_05515;B7H15_05520	-;-	5-(carboxyamino)imidazole ribonucleotide mutase;5-(carboxyamino)imidazole ribonucleotide synthase	1074350;1074801	1074815;1075926	1577
Pyrimidine metabolism	Amino Acid Metabolism;Exchange;Nucleotide Metabolism;Transport	ASPCT;CBMK;CBPS;CDDTPP;CSNt2;CTPS1;CTPS2;CYTD;CYTDK1;CYTDK2;CYTDt2r;CYTDt4;CYTK1;CYTK11;CYTK2;DACTPP;DAUPP;DCMPDA;DCPP;DCYTD;DCYTt2r;DGUPP;DHORD;DHORD5;DHORTS;DTMPK;DTUPP;DUCYTP;DURIK1;DURIPP;DURIt2r;DUTPDP;DUUPP;EX_csn_e;EX_cytd_e;EX_dcyt_e;EX_thym_e;EX_thymd_e;EX_ura_e;EX_uri_e;NADKd;NDPK2;NDPK3;NDPK4;NDPK6;NDPK7;NTD1;NTPP8;OMPDC;ORPT;PYNP1;PYNP2r;RNDR3;RNDR4;RNTR3;RNTR4;THMDt2r;THMDt4;THYMtex;TMDK1;TMDPP;TMDS;UCPP;UDCTPP;UDUPP;UMPK;UPPRT;URAt2;URIDK2r;URIK1;URIK2;URIK3;URIt4;UUPP;YUMPS	aspartate carbamoyltransferase;Carbamate kinase;carbamoyl-phosphate synthase (glutamine-hydrolysing);dTTP cytidine 5'-phosphotransferase ;Cytosine transport in via proton symport;CTP synthase (NH3);CTP synthase (glutamine);cytidine deaminase;cytidine kinase (ATP);cytidine kinase (GTP);Cytidine transport in via proton symport, reversible;Cytidine transport in via sodium symport;cytidylate kinase (CMP);cytidylate kinase (dCMP,dGTP);cytidylate kinase (dCMP);dATP cytidine 5'-phosphotransferase ;dATP uridine 5'-phosphotransferase ;dCMP deaminase;dCTP cytidine 5'-phosphotransferase ;deoxycytidine deaminase;Deoxycytidine ion-coupled transport ;dGTP uridine 5'-phosphotransferase ;dihydoorotic acid dehydrogenase;Dihydroorotate dehydrogenase B (NAD(+));dihydroorotase;dTMP kinase;dTTP uridine 5'-phosphotransferase ;dUTP cytidine 5'-phosphotransferase ;deoxyuridine kinase (ATP:Deoxyuridine);deoxyuridine phosphorylase;Deoxyuridine transport in via proton symport ;dUTP diphosphatase;dUTP uridine 5'-phosphotransferase ;Cytosine exchange;Cytidine exchange;Deoxycytidine exchange;Thymine exchange;Thymidine exchange;Uracil exchange;Uridine exchange;NAD kinase dTTP ;nucleoside-diphosphate kinase (ATP:UDP);nucleoside-diphosphate kinase (ATP:CDP);nucleoside-diphosphate kinase (ATP:dTDP);nucleoside-diphosphate kinase (ATP:dUDP);nucleoside-diphosphate kinase (ATP:dCDP);5'-nucleotidase (dUMP);Nucleoside triphosphate pyrophosphorylase (utp);orotidine-5'-phosphate decarboxylase;orotate phosphoribosyltransferase;pyrimidine-nucleoside phosphorylase (cytosine);pyrimidine-nucleoside phosphorylase (uracil);ribonucleoside-diphosphate reductase (CDP);ribonucleoside-diphosphate reductase (UDP);ribonucleoside-triphosphate reductase (CTP);ribonucleoside-triphosphate reductase (UTP);Thymidine transport in via proton symport, reversible;Thymidine transport in via sodium symport;Thymine transport via diffusion (extracellular to cytoplasm);thymidine kinase (ATP:thymidine);thymidine phosphorylase;thymidylate synthase;UTP cytidine 5'-phosphotransferase ;dCTP uridine 5'-phosphotransferase ;UTP uridine 5'-phosphotransferase ;UMP kinase;uracil phosphoribosyltransferase;Uracil transport in via proton symport;uridylate kinase (dUMP);uridine kinase (ATP:Uridine);uridine kinase (GTP:Uridine);uridine kinase (ITP:Uridine);Uridine transport in via sodium symport;ITP cytidine 5'-phosphotransferase ;yUMP synthetase	B7H15_00135;B7H15_00330;B7H15_00760;B7H15_01730;B7H15_02560;B7H15_02850;B7H15_03610;B7H15_04080;B7H15_04085;B7H15_04090;B7H15_05190;B7H15_05985;B7H15_06090;B7H15_06240;B7H15_06245;B7H15_06250;B7H15_06255;B7H15_06260;B7H15_06265;B7H15_06270;B7H15_06275;B7H15_06280;B7H15_06560;B7H15_06630;B7H15_07530;B7H15_07740;B7H15_07800;B7H15_08225;B7H15_08605;B7H15_08710;B7H15_08815;B7H15_09565;B7H15_11025;B7H15_11730;B7H15_11765;B7H15_11810;B7H15_11855;B7H15_11870;B7H15_12330;B7H15_14395;B7H15_14550;B7H15_14555;B7H15_14660	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;deoA;-;-;-;-;-;-	multifunctional 2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'-nucleotidase/3'-nucleotidase;carbamate kinase;purine-nucleoside phosphorylase;NupC/NupG family nucleoside CNT transporter;thymidylate kinase;NupC/NupG family nucleoside CNT transporter;NupC/NupG family nucleoside CNT transporter;protein NrdI;ribonucleotide-diphosphate reductase subunit alpha;class 1b ribonucleoside-diphosphate reductase subunit beta;NAD(+) kinase;non-canonical purine NTP pyrophosphatase;carbamate kinase 1;pseudouridine synthase;bifunctional pyrimidine operon transcriptional regulator/uracil phosphoribosyltransferase;uracil permease;aspartate carbamoyltransferase;dihydroorotase;carbamoyl-phosphate synthase small chain;carbamoyl-phosphate synthase large chain;orotidine 5'-phosphate decarboxylase;orotate phosphoribosyltransferase;UMP kinase;tRNA pseudouridine(55) synthase TruB;thymidylate synthase;nucleoside-diphosphate kinase;cytidylate kinase;pseudouridine synthase;cytidine deaminase;ComE operon protein 2;uridine kinase;16S rRNA pseudouridine(516) synthase;dUTP pyrophosphatase;uracil phosphoribosyltransferase;thymidine kinase;CTP synthetase;pyrimidine-nucleoside phosphorylase;purine-nucleoside phosphorylase;tRNA pseudouridine(38-40) synthase TruA;dihydroorotate dehydrogenase (quinone);anaerobic ribonucleoside-triphosphate reductase activating protein;anaerobic ribonucleoside-triphosphate reductase;carbamate kinase 2	30482;68292;157301;364099;520358;571237;720148;808659;809020;811243;1009855;1163973;1177487;1207117;1208433;1209178;1210513;1211412;1212688;1213781;1217064;1217756;1277618;1294289;1466294;1540634;1548744;1612649;1681016;1701964;1718754;1875450;2113582;2230068;2236067;2244470;2254019;2256576;2354718;2728939;2757938;2758471;2779278	32801;69222;158009;365320;520976;572452;721378;809058;811126;812215;1010665;1164561;1178420;1208035;1208961;1210486;1211395;1212687;1213789;1216955;1217757;1218368;1278341;1295207;1467251;1541084;1549404;1613387;1681421;1702426;1719378;1876146;2114116;2230698;2236667;2246081;2255321;2257287;2355522;2730004;2758475;2760322;2780220	41748
