chromosome	TU_Id_mader2016	TU_strand_mader2016	TU_start_mader2016	TU_end_mader2016	TU_length_mader2016	TU_locus_tags_mader2016	TU_gene_names_mader2016	TU_ClcortreeUA_mader2016	TU_cds_length_mader2016	locus_tags_product_gff	locus_tags_type_gff	locus_tags_start_gff	locus_tags_end_gff	locus_tags_strand_gff	locus_tags_snpEff_locus_ids	TU_promoter_Id_mader2016	TU_promoter_start_mader2016	TU_promoter_end_mader2016	TU_promoter_length_mader2016
NCTC8325	U361	1	737688	738702	1015	new_738079_738231_1, SAOUHSC_00755, new_738583_738717_1	S297, NA, S298	UA148	321	-;conserved hypothetical protein;-	-;CDS;-	-;738231;-	-;738552;-	-;1;-	-;CDS_NCTC8325_738232_738552;-	U361_promoter_200bp	737488	737688	200
NCTC8325	U362	1	738719	740181	1463	new_738719_738976_1, SAOUHSC_00756, new_740102_740222_1	S299, NA, S300	UA3	1125	-;conserved hypothetical protein;-	-;CDS;-	-;738976;-	-;740101;-	-;1;-	-;CDS_NCTC8325_738977_740101;-	U362_promoter_200bp	738519	738719	200
NCTC8325	U363	-1	740274	741583	1310	SAOUHSC_00757	pepT	UA46	1227	peptidase T, putative	CDS	740289	741516	-1	CDS_NCTC8325_740290_741516	U363_promoter_200bp	741583	741783	200
NCTC8325	U364	-1	743011	744107	1097	SAOUHSC_00760	NA	UA3	1071	conserved hypothetical protein	CDS	742998	744069	-1	CDS_NCTC8325_742999_744069	U364_promoter_200bp	744107	744307	200
NCTC8325	U365	1	744189	745502	1314	new_744189_744386_1, SAOUHSC_00762	S301, llm	UA3	1056	-;conserved hypothetical protein	-;CDS	-;744386	-;745442	-;1	-;CDS_NCTC8325_744387_745442	U365_promoter_200bp	743989	744189	200
NCTC8325	U366	-1	745629	746293	665	SAOUHSC_00763	NA	UA3	642	conserved hypothetical protein	CDS	745611	746253	-1	CDS_NCTC8325_745612_746253	U366_promoter_200bp	746293	746493	200
NCTC8325	U367	1	746360	746760	401	SAOUHSC_00764	NA	UA3	384	conserved hypothetical protein	CDS	746396	746780	1	CDS_NCTC8325_746397_746780	U367_promoter_200bp	746160	746360	200
NCTC8325	U368	1	748897	752455	3559	SAOUHSC_00767, new_749556_749644_1, new_749646_749939_1, SAOUHSC_00769	NA, S302, S303, secA	UA27	3105	conserved hypothetical protein;-;-;preprotein translocase, SecA subunit	CDS;-;-;CDS	748953;-;-;749939	749526;-;-;752471	1;-;-;1	CDS_NCTC8325_748954_749526;-;-;CDS_NCTC8325_749940_752471	U368_promoter_200bp	748697	748897	200
NCTC8325	U369	1	749646	752625	2980	new_749646_749939_1, SAOUHSC_00769, SAOUHSC_00770	S303, secA, NA	UA123	2637	-;preprotein translocase, SecA subunit;conserved hypothetical protein	-;CDS;CDS	-;749939;752512	-;752471;752617	-;1;1	-;CDS_NCTC8325_749940_752471;CDS_NCTC8325_752513_752617	U369_promoter_200bp	749446	749646	200
NCTC8325	U370	1	752727	753883	1157	new_752727_753020_1, SAOUHSC_00771	S304, prfB	UA3	876	-;peptide chain release factor 2, putative	-;CDS	-;753020	-;753896	-;1	-;CDS_NCTC8325_753021_753896	U370_promoter_200bp	752527	752727	200
NCTC8325	U371	-1	754673	754741	69	-	-	UA3	0	-	-	-	-	-	-	U371_promoter_200bp	754741	754941	200
NCTC8325	U372	1	755209	755277	69	-	-	UA55	0	-	-	-	-	-	-	U372_promoter_200bp	755009	755209	200
NCTC8325	U373	1	755278	756297	1020	SAOUHSC_00774, SAOUHSC_00775, new_756202_756324_1	NA, NA, S305	UA3	884	conserved hypothetical protein;conserved hypothetical protein;-	CDS;CDS;-	755317;755964;-	755968;756201;-	1;1;-	CDS_NCTC8325_755318_755968;CDS_NCTC8325_755965_756201;-	U373_promoter_200bp	755078	755278	200
NCTC8325	U374	1	756388	762485	6098	new_756388_756469_1, SAOUHSC_00776, SAOUHSC_00778, new_758528_758666_1, SAOUHSC_00779, SAOUHSC_00780	S306, uvrB, NA, S308, uvrB2, uvrA	UA149	5871	-;excinuclease ABC, B subunit;conserved hypothetical protein;-;excinuclease ABC subunit B, putative;excinuclease ABC, A subunit	-;CDS;CDS;-;CDS;CDS	-;756469;757510;-;758679;759661	-;757501;758527;-;759654;762508	-;1;1;-;1;1	-;CDS_NCTC8325_756470_757501;CDS_NCTC8325_757511_758527;-;CDS_NCTC8325_758680_759654;CDS_NCTC8325_759662_762508	U374_promoter_200bp	756188	756388	200
NCTC8325	U375	1	758668	762502	3835	SAOUHSC_00779, SAOUHSC_00780	uvrB2, uvrA	UA149	3822	excinuclease ABC subunit B, putative;excinuclease ABC, A subunit	CDS;CDS	758679;759661	759654;762508	1;1	CDS_NCTC8325_758680_759654;CDS_NCTC8325_759662_762508	U375_promoter_200bp	758468	758668	200
NCTC8325	U376	-1	757512	758676	1165	SAOUHSC_A00747, new_757485_758564_-1	NA, S307	UA150	159	conserved hypothetical protein;-	CDS;-	758564;-	758723;-	-1;-	CDS_NCTC8325_758565_758723;-	U376_promoter_200bp	758676	758876	200
NCTC8325	U377	1	763113	767959	4847	SAOUHSC_00781, SAOUHSC_00782, SAOUHSC_00783, SAOUHSC_00784, SAOUHSC_00785, new_767890_768017_1	hprK, lgt, NA, NA, trxB, S309	UA3	4635	HPr(Ser) kinase/phosphatase;prolipoprotein diacylglyceryl transferase;conserved hypothetical protein;conserved hypothetical protein;thioredoxin reductase;-	CDS;CDS;CDS;CDS;CDS;-	763169;764107;764954;765447;766953;-	764102;764947;765440;766887;767889;-	1;1;1;1;1;-	CDS_NCTC8325_763170_764102;CDS_NCTC8325_764108_764947;CDS_NCTC8325_764955_765440;CDS_NCTC8325_765448_766887;CDS_NCTC8325_766954_767889;-	U377_promoter_200bp	762913	763113	200
NCTC8325	U378	1	766911	767976	1066	SAOUHSC_00785, new_767890_768017_1	trxB, S309	UA97	936	thioredoxin reductase;-	CDS;-	766953;-	767889;-	1;-	CDS_NCTC8325_766954_767889;-	U378_promoter_200bp	766711	766911	200
NCTC8325	U380	1	769624	772974	3351	SAOUHSC_00788, new_770787_770895_1, SAOUHSC_00789, new_771863_772275_1, new_772277_772377_1, SAOUHSC_00790	NA, S311, whiA, S312, S313, clpP	UA12	2529	conserved hypothetical protein;-;conserved hypothetical protein;-;-;ATP-dependent Clp protease, proteolytic subunit ClpP	CDS;-;CDS;-;-;CDS	769790;-;770895;-;-;772412	770786;-;771840;-;-;773000	1;-;1;-;-;1	CDS_NCTC8325_769791_770786;-;CDS_NCTC8325_770896_771840;-;-;CDS_NCTC8325_772413_773000	U380_promoter_200bp	769424	769624	200
NCTC8325	U381	1	772277	772974	698	new_772277_772377_1, SAOUHSC_00790	S313, clpP	UA68	588	-;ATP-dependent Clp protease, proteolytic subunit ClpP	-;CDS	-;772412	-;773000	-;1	-;CDS_NCTC8325_772413_773000	U381_promoter_200bp	772077	772277	200
NCTC8325	U382	1	772379	773093	715	SAOUHSC_00790	clpP	UA151	588	ATP-dependent Clp protease, proteolytic subunit ClpP	CDS	772412	773000	1	CDS_NCTC8325_772413_773000	U382_promoter_200bp	772179	772379	200
NCTC8325	U383	1	774279	774368	90	new_774283_774396_1	S317	UA35	0	-	-	-	-	-	-	U383_promoter_200bp	774079	774279	200
NCTC8325	U384	-1	772863	774310	1448	new_774146_774310_-1, SAOUHSC_00792, new_773143_773242_-1, new_772830_773141_-1	S316, NA, S315, S314	UA152	903	-;conserved hypothetical protein;-;-	-;CDS;-;-	-;773242;-;-	-;774145;-;-	-;-1;-;-	-;CDS_NCTC8325_773243_774145;-;-	U384_promoter_200bp	774310	774510	200
NCTC8325	U385	-1	772982	774434	1453	new_774312_774434_-1, new_774146_774310_-1, SAOUHSC_00792, new_773143_773242_-1, new_772830_773141_-1	S318, S316, NA, S315, S314	UA153	903	-;-;conserved hypothetical protein;-;-	-;-;CDS;-;-	-;-;773242;-;-	-;-;774145;-;-	-;-;-1;-;-	-;-;CDS_NCTC8325_773243_774145;-;-	U385_promoter_200bp	774434	774634	200
NCTC8325	U387	1	774645	775864	1220	new_774645_774847_1, SAOUHSC_00793, new_775515_775877_1	S319, NA, S320	UA137	630	-;conserved hypothetical protein;-	-;CDS;-	-;774847;-	-;775477;-	-;1;-	-;CDS_NCTC8325_774848_775477;-	U387_promoter_200bp	774445	774645	200
NCTC8325	U388	1	775879	782001	6123	new_775879_776010_1, new_776012_776118_1, SAOUHSC_00794, SAOUHSC_00795, new_778196_778333_1, SAOUHSC_00796, new_779525_779645_1, SAOUHSC_00797, SAOUHSC_00798, new_781928_782008_1	S321, S322, gapR, gapA, S323, pgk, S324, tpiA, pgm, S325	UA154	5496	-;-;glycolytic operon regulator;glyceraldehyde-3-phosphate dehydrogenase, type I;-;phosphoglycerate kinase, putative;-;triosephosphate isomerase;phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent;-	-;-;CDS;CDS;-;CDS;-;CDS;CDS;-	-;-;776118;777184;-;778333;-;779645;780409;-	-;-;777132;778195;-;779524;-;780407;781927;-	-;-;1;1;-;1;-;1;1;-	-;-;CDS_NCTC8325_776119_777132;CDS_NCTC8325_777185_778195;-;CDS_NCTC8325_778334_779524;-;CDS_NCTC8325_779646_780407;CDS_NCTC8325_780410_781927;-	U388_promoter_200bp	775679	775879	200
NCTC8325	U389	1	776012	783548	7537	new_776012_776118_1, SAOUHSC_00794, SAOUHSC_00795, new_778196_778333_1, SAOUHSC_00796, new_779525_779645_1, SAOUHSC_00797, SAOUHSC_00798, new_781928_782008_1, SAOUHSC_00799, new_783362_783489_1	S322, gapR, gapA, S323, pgk, S324, tpiA, pgm, S325, eno, S326	UA63	6801	-;glycolytic operon regulator;glyceraldehyde-3-phosphate dehydrogenase, type I;-;phosphoglycerate kinase, putative;-;triosephosphate isomerase;phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent;-;enolase;-	-;CDS;CDS;-;CDS;-;CDS;CDS;-;CDS;-	-;776118;777184;-;778333;-;779645;780409;-;782056;-	-;777132;778195;-;779524;-;780407;781927;-;783361;-	-;1;1;-;1;-;1;1;-;1;-	-;CDS_NCTC8325_776119_777132;CDS_NCTC8325_777185_778195;-;CDS_NCTC8325_778334_779524;-;CDS_NCTC8325_779646_780407;CDS_NCTC8325_780410_781927;-;CDS_NCTC8325_782057_783361;-	U389_promoter_200bp	775812	776012	200
NCTC8325	U390	1	782010	783582	1573	SAOUHSC_00799, new_783362_783489_1	eno, S326	UA155	1305	enolase;-	CDS;-	782056;-	783361;-	1;-	CDS_NCTC8325_782057_783361;-	U390_promoter_200bp	781810	782010	200
NCTC8325	U391	1	783585	787917	4333	new_783585_783700_1, SAOUHSC_00800, SAOUHSC_00801, new_784460_784574_1, SAOUHSC_00802, SAOUHSC_00803, SAOUHSC_00804	S327, NA, secG, S328, est, rnr, smpB	UA3	4314	-;conserved hypothetical protein;preprotein translocase, SecG subunit;-;carboxylesterase precursor, putative;ribonuclease R, putative;SsrA-binding protein	-;CDS;CDS;-;CDS;CDS;CDS	-;783700;784183;-;784574;785348;787742	-;784159;784459;-;785315;787721;788207	-;1;1;-;1;1;1	-;CDS_NCTC8325_783701_784159;CDS_NCTC8325_784184_784459;-;CDS_NCTC8325_784575_785315;CDS_NCTC8325_785349_787721;CDS_NCTC8325_787743_788207	U391_promoter_200bp	783385	783585	200
NCTC8325	U392	1	784186	788631	4446	SAOUHSC_00801, new_784460_784574_1, SAOUHSC_00802, SAOUHSC_00803, SAOUHSC_00804, new_788284_788675_1	secG, S328, est, rnr, smpB, S329	UA75	3855	preprotein translocase, SecG subunit;-;carboxylesterase precursor, putative;ribonuclease R, putative;SsrA-binding protein;-	CDS;-;CDS;CDS;CDS;-	784183;-;784574;785348;787742;-	784459;-;785315;787721;788207;-	1;-;1;1;1;-	CDS_NCTC8325_784184_784459;-;CDS_NCTC8325_784575_785315;CDS_NCTC8325_785349_787721;CDS_NCTC8325_787743_788207;-	U392_promoter_200bp	783986	784186	200
NCTC8325	U393	1	788240	788631	392	new_788284_788675_1	S329	UA20	0	-	-	-	-	-	-	U393_promoter_200bp	788040	788240	200
NCTC8325	U394	1	788284	788648	365	new_788284_788675_1	S329	UA156	0	-	-	-	-	-	-	U394_promoter_200bp	788084	788284	200
NCTC8325	U395	-1	789540	791115	1576	new_790935_791115_-1, SAOUHSC_00808, new_790015_790192_-1, SAOUHSC_00807, SAOUHSC_00806	S331, NA, S330, NA, NA	UA157	1200	-;conserved hypothetical protein;-;conserved hypothetical protein;conserved hypothetical protein	-;CDS;-;CDS;CDS	-;790205;-;789867;789528	-;790934;-;790014;789852	-;-1;-;-1;-1	-;CDS_NCTC8325_790206_790934;-;CDS_NCTC8325_789868_790014;CDS_NCTC8325_789529_789852	U395_promoter_200bp	791115	791315	200
NCTC8325	U396	1	791458	792932	1475	SAOUHSC_00810, new_792055_792192_1, SAOUHSC_00811, new_792724_792926_1	NA, S332, NA, S333	UA12	1053	conserved hypothetical protein;-;conserved hypothetical protein;-	CDS;-;CDS;-	791532;-;792192;-	792054;-;792723;-	1;-;1;-	CDS_NCTC8325_791533_792054;-;CDS_NCTC8325_792193_792723;-	U396_promoter_200bp	791258	791458	200
NCTC8325	U397	1	792928	795788	2861	SAOUHSC_00812	clfA	UA12	2784	clumping factor	CDS	792985	795769	1	CDS_NCTC8325_792986_795769	U397_promoter_200bp	792728	792928	200
NCTC8325	U398	1	794683	795771	1089	-	-	UA12	0	-	-	-	-	-	-	U398_promoter_200bp	794483	794683	200
NCTC8325	U399	-1	795575	795830	256	-	-	UA12	0	-	-	-	-	-	-	U399_promoter_200bp	795830	796030	200
NCTC8325	U400	1	795907	797165	1259	SAOUHSC_00813, SAOUHSC_00814	NA, vwb	UA158	1473	truncated secreted von Willebrand factor-binding protein;truncated secreted von Willebrand factor-binding protein (coagulase) VWbp, putative	CDS;CDS	795989;796162	796109;797515	1;1	CDS_NCTC8325_795990_796109;CDS_NCTC8325_796163_797515	U400_promoter_200bp	795707	795907	200
NCTC8325	U401	1	795941	797590	1650	SAOUHSC_00813, SAOUHSC_00814, new_797516_797637_1	NA, vwb, S334	UA159	1473	truncated secreted von Willebrand factor-binding protein;truncated secreted von Willebrand factor-binding protein (coagulase) VWbp, putative;-	CDS;CDS;-	795989;796162;-	796109;797515;-	1;1;-	CDS_NCTC8325_795990_796109;CDS_NCTC8325_796163_797515;-	U401_promoter_200bp	795741	795941	200
NCTC8325	U402	1	797792	798440	649	SAOUHSC_00816	emp	UA160	1023	extracellular matrix and plasma binding protein, putative	CDS	797865	798888	1	CDS_NCTC8325_797866_798888	U402_promoter_200bp	797592	797792	200
NCTC8325	U403	1	799997	800718	722	SAOUHSC_00818	nuc	UA145	687	thermonuclease precursor	CDS	800033	800720	1	CDS_NCTC8325_800034_800720	U403_promoter_200bp	799797	799997	200
NCTC8325	U404	1	800944	801296	353	new_800944_801076_1, SAOUHSC_00819	S337, cspC	UA75	201	-;conserved hypothetical protein	-;CDS	-;801076	-;801277	-;1	-;CDS_NCTC8325_801077_801277	U404_promoter_200bp	800744	800944	200
NCTC8325	U405	-1	801508	802377	870	SAOUHSC_00821, SAOUHSC_00820, new_801557_801772_-1	NA, NA, S339	UA12	504	conserved hypothetical protein;conserved hypothetical protein;-	CDS;CDS;-	802052;801772;-	802337;801991;-	-1;-1;-	CDS_NCTC8325_802053_802337;CDS_NCTC8325_801773_801991;-	U405_promoter_200bp	802377	802577	200
NCTC8325	U406	-1	801593	803088	1496	new_802995_803088_-1, SAOUHSC_00822, SAOUHSC_00821, SAOUHSC_00820, new_801557_801772_-1	S340, NA, NA, NA, S339	UA3	1074	-;conserved hypothetical protein;conserved hypothetical protein;conserved hypothetical protein;-	-;CDS;CDS;CDS;-	-;802424;802052;801772;-	-;802994;802337;801991;-	-;-1;-1;-1;-	-;CDS_NCTC8325_802425_802994;CDS_NCTC8325_802053_802337;CDS_NCTC8325_801773_801991;-	U406_promoter_200bp	803088	803288	200
NCTC8325	U407	-1	803191	803703	513	SAOUHSC_00824, SAOUHSC_00823	NA, NA	UA161	450	conserved hypothetical protein;conserved hypothetical protein	CDS;CDS	803398;803181	803659;803370	-1;-1	CDS_NCTC8325_803399_803659;CDS_NCTC8325_803182_803370	U407_promoter_200bp	803703	803903	200
NCTC8325	U408	1	803940	804781	842	SAOUHSC_00825, new_804204_804450_1, new_804456_804681_1, SAOUHSC_00827	NA, S343, S344, NA	UA8	765	conserved hypothetical protein;-;-;conserved hypothetical protein	CDS;-;-;CDS	803999;-;-;804681	804203;-;-;805242	1;-;-;1	CDS_NCTC8325_804000_804203;-;-;CDS_NCTC8325_804682_805242	U408_promoter_200bp	803740	803940	200
NCTC8325	U409	1	804456	805189	734	new_804456_804681_1, SAOUHSC_00827	S344, NA	UA133	561	-;conserved hypothetical protein	-;CDS	-;804681	-;805242	-;1	-;CDS_NCTC8325_804682_805242	U409_promoter_200bp	804256	804456	200
NCTC8325	U410	-1	803191	804478	1288	SAOUHSC_00826, new_803915_804199_-1, new_803705_803913_-1, SAOUHSC_00824, SAOUHSC_00823	NA, S342, S341, NA, NA	UA12	687	conserved hypothetical protein;-;-;conserved hypothetical protein;conserved hypothetical protein	CDS;-;-;CDS;CDS	804199;-;-;803398;803181	804436;-;-;803659;803370	-1;-;-;-1;-1	CDS_NCTC8325_804200_804436;-;-;CDS_NCTC8325_803399_803659;CDS_NCTC8325_803182_803370	U410_promoter_200bp	804478	804678	200
NCTC8325	U411	-1	805316	805983	668	SAOUHSC_00828	NA	UA6	618	conserved hypothetical protein	CDS	805314	805932	-1	CDS_NCTC8325_805315_805932	U411_promoter_200bp	805983	806183	200
NCTC8325	U413	-1	806064	806646	583	SAOUHSC_00830	NA	UA163	495	conserved hypothetical protein	CDS	806086	806581	-1	CDS_NCTC8325_806087_806581	U413_promoter_200bp	806646	806846	200
NCTC8325	U414	-1	806948	807174	227	-	-	UA164	0	-	-	-	-	-	-	U414_promoter_200bp	807174	807374	200
NCTC8325	U415	-1	806659	807442	784	SAOUHSC_00831, new_806648_806903_-1	ohrA, S345	UA76	423	conserved hypothetical protein;-	CDS;-	806979;-	807402;-	-1;-	CDS_NCTC8325_806980_807402;-	U415_promoter_200bp	807442	807642	200
NCTC8325	U416	1	807506	808878	1373	SAOUHSC_00832, SAOUHSC_00833	aroD, NA	UA10	1257	3-dehydroquinate dehydratase, type I;conserved hypothetical protein	CDS;CDS	807549;808348	808266;808888	1;1	CDS_NCTC8325_807550_808266;CDS_NCTC8325_808349_808888	U416_promoter_200bp	807306	807506	200
NCTC8325	U417	1	808307	808878	572	SAOUHSC_00833	NA	UA25	540	conserved hypothetical protein	CDS	808348	808888	1	CDS_NCTC8325_808349_808888	U417_promoter_200bp	808107	808307	200
NCTC8325	U418	-1	809022	809407	386	SAOUHSC_00834	NA	UA3	321	thioredoxin, putative	CDS	809037	809358	-1	CDS_NCTC8325_809038_809358	U418_promoter_200bp	809407	809607	200
NCTC8325	U419	1	809457	812890	3434	SAOUHSC_00835, new_809859_810015_1, SAOUHSC_00836, SAOUHSC_00837, SAOUHSC_00838, new_811454_811871_1, new_811986_812153_1, SAOUHSC_00840, SAOUHSC_00841	NA, S346, gcvH, NA, truncated-SA, S347, S348, NA, NA	UA1	2407	conserved hypothetical protein;-;glycine cleavage system H protein;conserved hypothetical protein;conserved hypothetical protein;-;-;conserved hypothetical protein;conserved hypothetical protein	CDS;-;CDS;CDS;CDS;-;-;CDS;CDS	809501;-;810015;810459;810574;-;-;812194;812573	809858;-;810396;810573;811453;-;-;812581;812870	1;-;1;1;1;-;-;1;1	CDS_NCTC8325_809502_809858;-;CDS_NCTC8325_810016_810396;CDS_NCTC8325_810460_810573;CDS_NCTC8325_810575_811453;-;-;CDS_NCTC8325_812195_812581;CDS_NCTC8325_812574_812870	U419_promoter_200bp	809257	809457	200
NCTC8325	U420	1	812155	815950	3796	SAOUHSC_00840, SAOUHSC_00841, new_812901_813069_1, SAOUHSC_00842, SAOUHSC_00843, SAOUHSC_00844, new_815706_815973_1	NA, NA, S349, NA, NA, NA, S350	UA12	3212	conserved hypothetical protein;conserved hypothetical protein;-;ABC transporter, ATP-binding protein, putative;conserved hypothetical protein;conserved hypothetical protein;-	CDS;CDS;-;CDS;CDS;CDS;-	812194;812573;-;813119;814137;814850;-	812581;812870;-;814145;814833;815672;-	1;1;-;1;1;1;-	CDS_NCTC8325_812195_812581;CDS_NCTC8325_812574_812870;-;CDS_NCTC8325_813120_814145;CDS_NCTC8325_814138_814833;CDS_NCTC8325_814851_815672;-	U420_promoter_200bp	811955	812155	200
NCTC8325	U421	1	812901	815967	3067	new_812901_813069_1, SAOUHSC_00842, SAOUHSC_00843, SAOUHSC_00844, new_815706_815973_1	S349, NA, NA, NA, S350	UA69	2536	-;ABC transporter, ATP-binding protein, putative;conserved hypothetical protein;conserved hypothetical protein;-	-;CDS;CDS;CDS;-	-;813119;814137;814850;-	-;814145;814833;815672;-	-;1;1;1;-	-;CDS_NCTC8325_813120_814145;CDS_NCTC8325_814138_814833;CDS_NCTC8325_814851_815672;-	U421_promoter_200bp	812701	812901	200
NCTC8325	U422	-1	812966	813057	92	-	-	UA101	0	-	-	-	-	-	-	U422_promoter_200bp	813057	813257	200
NCTC8325	U423	1	815975	823209	7235	SAOUHSC_00845, new_816270_817529_1, new_817531_817631_1, SAOUHSC_00847, new_818394_818490_1, SAOUHSC_00848, new_819799_819903_1, SAOUHSC_00849, SAOUHSC_00850, new_821609_821758_1, SAOUHSC_00851, new_823157_823252_1	NA, S351, S353, sufC, S354, sufD, S355, sufS, sufU, S356, sufB, S357	UA12	5368	conserved hypothetical protein;-;-;ABC transporter, ATP-binding protein, putative;-;conserved hypothetical protein;-;aminotransferase, class V superfamily, putative;conserved hypothetical protein;-;conserved hypothetical protein;-	CDS;-;-;CDS;-;CDS;-;CDS;CDS;-;CDS;-	816025;-;-;817631;-;818490;-;819903;821143;-;821758;-	816220;-;-;818393;-;819798;-;821154;821608;-;823156;-	1;-;-;1;-;1;-;1;1;-;1;-	CDS_NCTC8325_816026_816220;-;-;CDS_NCTC8325_817632_818393;-;CDS_NCTC8325_818491_819798;-;CDS_NCTC8325_819904_821154;CDS_NCTC8325_821144_821608;-;CDS_NCTC8325_821759_823156;-	U423_promoter_200bp	815775	815975	200
NCTC8325	U424	-1	816043	816247	205	-	-	UA165	0	-	-	-	-	-	-	U424_promoter_200bp	816247	816447	200
NCTC8325	U425	-1	816519	817386	868	new_817305_817386_-1, SAOUHSC_00846	S352, NA	UA14	852	-;conserved hypothetical protein	-;CDS	-;816452	-;817304	-;-1	-;CDS_NCTC8325_816453_817304	U425_promoter_200bp	817386	817586	200
NCTC8325	U426	1	817531	823209	5679	new_817531_817631_1, SAOUHSC_00847, new_818394_818490_1, SAOUHSC_00848, new_819799_819903_1, SAOUHSC_00849, SAOUHSC_00850, new_821609_821758_1, SAOUHSC_00851, new_823157_823252_1	S353, sufC, S354, sufD, S355, sufS, sufU, S356, sufB, S357	UA137	5173	-;ABC transporter, ATP-binding protein, putative;-;conserved hypothetical protein;-;aminotransferase, class V superfamily, putative;conserved hypothetical protein;-;conserved hypothetical protein;-	-;CDS;-;CDS;-;CDS;CDS;-;CDS;-	-;817631;-;818490;-;819903;821143;-;821758;-	-;818393;-;819798;-;821154;821608;-;823156;-	-;1;-;1;-;1;1;-;1;-	-;CDS_NCTC8325_817632_818393;-;CDS_NCTC8325_818491_819798;-;CDS_NCTC8325_819904_821154;CDS_NCTC8325_821144_821608;-;CDS_NCTC8325_821759_823156;-	U426_promoter_200bp	817331	817531	200
NCTC8325	U427	-1	823795	823897	103	-	-	UA99	0	-	-	-	-	-	-	U427_promoter_200bp	823897	824097	200
NCTC8325	U428	1	824098	826303	2206	SAOUHSC_00854, SAOUHSC_00855	NA, NA	UA12	2109	conserved hypothetical protein;conserved hypothetical protein	CDS;CDS	824164;825218	825205;826286	1;1	CDS_NCTC8325_824165_825205;CDS_NCTC8325_825219_826286	U428_promoter_200bp	823898	824098	200
NCTC8325	U429	1	826371	826575	205	SAOUHSC_00857, SAOUHSC_00858	NA, NA	UA166	948	conserved hypothetical protein;conserved hypothetical protein	CDS;CDS	826352;826498	826451;827347	1;1	CDS_NCTC8325_826353_826451;CDS_NCTC8325_826499_827347	U429_promoter_200bp	826171	826371	200
NCTC8325	U430	1	826480	831029	4550	SAOUHSC_00858, SAOUHSC_00859, SAOUHSC_00860, SAOUHSC_00861, new_830535_830663_1, SAOUHSC_00862	NA, NA, NA, lipA, S358, NA	UA93	4299	conserved hypothetical protein;conserved hypothetical protein;5-nucleotidase family protein;lipoic acid synthetase;-;conserved hypothetical protein	CDS;CDS;CDS;CDS;-;CDS	826498;827359;828213;829616;-;830663	827347;828187;829533;830534;-;831047	1;1;1;1;-;1	CDS_NCTC8325_826499_827347;CDS_NCTC8325_827360_828187;CDS_NCTC8325_828214_829533;CDS_NCTC8325_829617_830534;-;CDS_NCTC8325_830664_831047	U430_promoter_200bp	826280	826480	200
NCTC8325	U431	1	829581	831029	1449	SAOUHSC_00861, new_830535_830663_1, SAOUHSC_00862	lipA, S358, NA	UA93	1302	lipoic acid synthetase;-;conserved hypothetical protein	CDS;-;CDS	829616;-;830663	830534;-;831047	1;-;1	CDS_NCTC8325_829617_830534;-;CDS_NCTC8325_830664_831047	U431_promoter_200bp	829381	829581	200
NCTC8325	U432	-1	831139	831434	296	SAOUHSC_00863	NA	UA3	267	conserved hypothetical protein	CDS	831125	831392	-1	CDS_NCTC8325_831126_831392	U432_promoter_200bp	831434	831634	200
NCTC8325	U433	1	831454	838356	6903	SAOUHSC_00864, SAOUHSC_00865, new_832704_832810_1, SAOUHSC_00866, new_833696_833948_1, SAOUHSC_00867, SAOUHSC_00868, SAOUHSC_00869, SAOUHSC_00870, SAOUHSC_00871, SAOUHSC_00872	NA, NA, S359, NA, S360, NA, dltX, dltA, dltB, dltC, dltD	UA3	6488	conserved hypothetical protein;conserved hypothetical protein;-;D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain protein;-;conserved hypothetical protein;conserved hypothetical protein;D-alanine-activating enzyme;dltB protein, putative;D-alanyl carrier protein;extramembranal protein	CDS;CDS;-;CDS;-;CDS;CDS;CDS;CDS;CDS;CDS	831489;831923;-;832810;-;833948;834055;834274;835728;836960;837193	831924;832703;-;833695;-;834059;834259;835732;836943;837197;838369	1;1;-;1;-;1;1;1;1;1;1	CDS_NCTC8325_831490_831924;CDS_NCTC8325_831924_832703;-;CDS_NCTC8325_832811_833695;-;CDS_NCTC8325_833949_834059;CDS_NCTC8325_834056_834259;CDS_NCTC8325_834275_835732;CDS_NCTC8325_835729_836943;CDS_NCTC8325_836961_837197;CDS_NCTC8325_837194_838369	U433_promoter_200bp	831254	831454	200
NCTC8325	U434	1	838923	839291	369	SAOUHSC_00874	NA	UA167	324	conserved hypothetical protein	CDS	838974	839298	1	CDS_NCTC8325_838975_839298	U434_promoter_200bp	838723	838923	200
NCTC8325	U435	-1	838602	838929	328	SAOUHSC_00873	nifU	UA168	243	conserved hypothetical protein	CDS	838631	838874	-1	CDS_NCTC8325_838632_838874	U435_promoter_200bp	838929	839129	200
NCTC8325	U436	-1	839367	840575	1209	new_840422_840574_-1, SAOUHSC_00875	S361, NA	UA167	1065	-;conserved hypothetical protein	-;CDS	-;839356	-;840421	-;-1	-;CDS_NCTC8325_839357_840421	U436_promoter_200bp	840575	840775	200
NCTC8325	U437	1	840699	841382	684	SAOUHSC_00876, SAOUHSC_00877	NA, NA	UA75	597	conserved hypothetical protein;conserved hypothetical protein	CDS;CDS	840737;840986	840974;841346	1;1	CDS_NCTC8325_840738_840974;CDS_NCTC8325_840987_841346	U437_promoter_200bp	840499	840699	200
